"Work Item Type","Title 1","Title 2","Description","Acceptance Criteria","Priority","Story Points","Tags"
"Epic","EP-00 Ambiente e flow de teste (Meta Cloud API)","","<p>Ter o CRM a correr com uma ligação WhatsApp oficial (número de teste da Meta) e um flow simples validado de ponta a ponta, sem escrever código novo.</p>","","1","","leona-parity"
"User Story","","WI-01 Configurar variáveis de ambiente e segredo do cron","<p><b>WI-01</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>O .env.local já tem Supabase, ENCRYPTION_KEY, META_APP_SECRET, NEXT_PUBLIC_SITE_URL e NEXT_PUBLIC_APP_LOCALE. Falta AUTOMATION_CRON_SECRET: sem ele /api/flows/cron e /api/automations/cron respondem 503, e execuções de flow abandonadas nunca expiram (bloqueiam novos flows para o mesmo contacto via idx_one_active_run_per_contact).</p><h3>O que fazer</h3><ul><li>Gerar AUTOMATION_CRON_SECRET (openssl rand -hex 32) e adicioná-lo ao .env.local e ao ambiente de produção.</li><li>Adicionar META_APP_ID (opcional, necessário só para templates com header de imagem).</li><li>Validar que ENCRYPTION_KEY tem 64 caracteres hex (encryption.ts agora lança erro se não tiver).</li><li>Agendar chamadas GET a /api/flows/cron e /api/automations/cron a cada 5 min com header x-cron-secret (Vercel Cron, GitHub Actions ou pinger externo).</li><li>Atualizar .env.local.example com os comentários relevantes.</li></ul>","<ul><li>GET /api/flows/cron com o header correto devolve 200; sem header devolve 401.</li><li>O agendamento está ativo e visível nos logs do provedor.</li><li>npm run dev arranca sem erros de variáveis em falta.</li></ul>","1","1","leona-parity; infra; config"
"User Story","","WI-02 Aplicar migrações da base de dados no Supabase","<p><b>WI-02</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>O repositório tem 39 migrações em supabase/migrations (001 a 039). É preciso garantir que o projeto Supabase usado no .env.local as tem todas aplicadas, incluindo buckets de storage (flow-media, chat-media) e extensões (vector, da 030).</p><h3>O que fazer</h3><ul><li>Ligar o Supabase CLI ao projeto (supabase link) e correr supabase db push.</li><li>Confirmar que os buckets de storage criados pelas migrações existem.</li><li>Confirmar que a extensão vector está ativa (migração 030).</li><li>Criar o primeiro utilizador/conta via /signup e verificar que a conta fica ligada ao perfil.</li></ul>","<ul><li>supabase migration list mostra 001–039 aplicadas no remoto.</li><li>Login e navegação por /dashboard, /inbox, /flows e /settings funcionam sem erros de tabela em falta.</li></ul>","1","1","leona-parity; infra; database"
"User Story","","WI-03 Criar app Meta, número de teste e ligar ao CRM","<p><b>WI-03</b> · Dependências: WI-01, WI-02</p><h3>Contexto</h3><p>O CRM só fala com a WhatsApp Cloud API oficial. A Meta oferece um número de teste gratuito que envia para até 5 destinatários verificados, suficiente para validar o fluxo. Os números atuais do Leona (UAZAPI) não podem ser usados aqui sem o EP-01.</p><h3>O que fazer</h3><ul><li>Em developers.facebook.com criar app do tipo Business e adicionar o produto WhatsApp.</li><li>Anotar Phone Number ID e WhatsApp Business Account ID do número de teste.</li><li>Criar System User no Business Manager e gerar token permanente com whatsapp_business_messaging e whatsapp_business_management.</li><li>Adicionar os telemóveis da equipa como destinatários verificados.</li><li>Em Settings → WhatsApp no CRM, guardar token, Phone Number ID, WABA ID e um verify token.</li></ul>","<ul><li>Settings → WhatsApp mostra estado ""connected"".</li><li>Envio manual de uma mensagem a partir do Inbox chega ao telemóvel verificado.</li></ul>","1","2","leona-parity; whatsapp; meta; config"
"User Story","","WI-04 Expor URL pública e subscrever webhook da Meta","<p><b>WI-04</b> · Dependências: WI-03</p><h3>Contexto</h3><p>A Meta não alcança localhost. O webhook está em /api/whatsapp/webhook (GET para verificação com hub.verify_token, POST com assinatura x-hub-signature-256 validada com META_APP_SECRET).</p><h3>O que fazer</h3><ul><li>Fazer deploy (Vercel ou Docker) ou abrir túnel (ngrok http 3000) para desenvolvimento.</li><li>Na app Meta → WhatsApp → Configuration, definir Callback URL https://<host>/api/whatsapp/webhook e o mesmo verify token do WI-03.</li><li>Subscrever os campos messages e message_template_status_update.</li><li>Atualizar NEXT_PUBLIC_SITE_URL para o host público.</li></ul>","<ul><li>Meta mostra o webhook como verificado.</li><li>Mensagem enviada do telemóvel aparece no Inbox em menos de 5 segundos, com contacto criado automaticamente.</li><li>Estados sent/delivered/read atualizam nas mensagens enviadas.</li></ul>","1","2","leona-parity; whatsapp; meta; infra"
"User Story","","WI-05 Construir e validar flow de teste ponta a ponta","<p><b>WI-05</b> · Dependências: WI-04</p><h3>Contexto</h3><p>Validar o motor de flows existente (src/lib/flows/engine.ts) com os blocos que já existem: gatilho keyword, send_buttons, send_message, handoff, end.</p><h3>O que fazer</h3><ul><li>Criar flow ""Teste – Boas-vindas"" com gatilho keyword ""oi"" (match contains, case-insensitive).</li><li>Bloco send_buttons: ""Olá! Como posso ajudar?"" com botões ""Ver produtos"" e ""Falar com atendente"".</li><li>Ramo ""Ver produtos"": send_message com texto de produtos → end.</li><li>Ramo ""Falar com atendente"": handoff (atribuição opcional).</li><li>Ativar o flow e testar os dois ramos e a resposta inválida (fallback reprompt → handoff).</li><li>Documentar o resultado com capturas em /flows/[id]/runs.</li></ul>","<ul><li>Enviar ""oi"" dispara o flow e mostra os botões.</li><li>Cada botão segue o ramo correto e o run termina como completed ou handed_off.</li><li>Texto livre fora das opções gera reprompt e, após 2 tentativas, handoff.</li><li>O cron marca como timed_out um run abandonado após o timeout configurado.</li></ul>","1","2","leona-parity; flows; qa"
"Epic","EP-01 Multi-provedor WhatsApp e múltiplas ligações (UAZAPI)","","<p>Permitir usar os números atuais (UAZAPI, +244) e ter várias ligações por conta, como no Leona, mantendo a Meta Cloud API como opção.</p>","","1","","leona-parity"
"User Story","","WI-06 Spike: documentar API UAZAPI e decidir arquitetura de provedores","<p><b>WI-06</b> · Dependências: nenhuma</p><h3>Contexto</h3><p>A UAZAPI é não-oficial (WhatsApp Web). Antes de codificar é preciso mapear endpoints, formato do webhook, autenticação por instância, suporte a botões/listas (instáveis em APIs não-oficiais) e riscos de banimento.</p><h3>O que fazer</h3><ul><li>Mapear endpoints: criar/ligar instância (QR/pairing code), estado, enviar texto, media, áudio, botões, listas, reação, marcar como lido.</li><li>Mapear payload do webhook de entrada (mensagens, estados, desconexão) e mecanismo de autenticação/assinatura.</li><li>Comparar com os tipos de mensagem suportados pela Meta e listar diferenças.</li><li>Propor interface WhatsAppProvider e modelo de dados de ligações (ADR em docs/).</li><li>Levantar riscos: banimento, limites de envio, estabilidade de botões interativos.</li></ul>","<ul><li>ADR aprovado com interface do provedor, esquema de tabela e fluxo de webhook.</li><li>Tabela de compatibilidade de funcionalidades Meta vs UAZAPI.</li></ul>","1","3","leona-parity; whatsapp; uazapi; arquitetura; spike"
"User Story","","WI-07 Suportar múltiplas ligações WhatsApp por conta","<p><b>WI-07</b> · Dependências: WI-06</p><h3>Contexto</h3><p>Hoje whatsapp_config é uma linha por conta: a rota /api/whatsapp/config faz .eq(""account_id"").maybeSingle() e o webhook resolve a conta pelo phone_number_id. O Leona tem 4 números numa só conta.</p><h3>O que fazer</h3><ul><li>Migração: evoluir whatsapp_config para whatsapp_connections (id, account_id, name, provider ""meta""|""uazapi"", phone_number, credenciais encriptadas, status, active) sem perder dados existentes.</li><li>Adicionar connection_id a conversations e messages (nullable + backfill com a ligação atual).</li><li>Uma conversa pertence a (contacto, ligação): rever a unicidade da migração 036.</li><li>Atualizar RLS para as novas tabelas/colunas.</li><li>Atualizar rotas de config, envio (send-message.ts), broadcasts e engines para receber connection_id.</li><li>Testes unitários para resolução de ligação e deduplicação de conversas.</li></ul>","<ul><li>Uma conta consegue guardar 2+ ligações e ambas recebem mensagens.</li><li>Resposta a partir do Inbox sai pelo mesmo número por onde entrou a conversa.</li><li>Contas existentes continuam a funcionar após a migração sem reconfigurar.</li></ul>","1","8","leona-parity; whatsapp; database; backend"
"User Story","","WI-08 Criar camada de abstração WhatsAppProvider","<p><b>WI-08</b> · Dependências: WI-06</p><h3>Contexto</h3><p>O envio chama src/lib/whatsapp/meta-api.ts diretamente a partir de send-message.ts, flows/meta-send.ts, automations/meta-send.ts e broadcast-core.ts.</p><h3>O que fazer</h3><ul><li>Definir interface: sendText, sendMedia, sendButtons, sendList, sendTemplate, sendReaction, getMedia, getStatus.</li><li>Implementar MetaCloudProvider como wrapper do meta-api.ts atual (sem mudar comportamento).</li><li>Criar factory getProvider(connection) que devolve a implementação certa.</li><li>Migrar todos os pontos de envio para usar o provedor.</li><li>Normalizar a entrada: o parsing de webhook devolve um InboundMessage comum, independente do provedor.</li></ul>","<ul><li>Nenhum ficheiro fora de lib/whatsapp/providers importa meta-api.ts diretamente.</li><li>npm test e npm run typecheck passam; comportamento Meta inalterado.</li></ul>","1","5","leona-parity; whatsapp; backend; refactor"
"User Story","","WI-09 Implementar adaptador UAZAPI (envio)","<p><b>WI-09</b> · Dependências: WI-08</p><h3>Contexto</h3><p>Implementação de WhatsAppProvider para UAZAPI segundo o ADR do WI-06.</p><h3>O que fazer</h3><ul><li>Implementar UazapiProvider: texto, imagem, vídeo, documento, áudio (PTT), botões, listas, reação.</li><li>Fallback para texto numerado quando botões/listas não forem suportados.</li><li>Tratamento de erros, retries e rate limit por instância.</li><li>Guardar token da instância encriptado (encryption.ts).</li><li>Testes unitários com respostas mockadas.</li></ul>","<ul><li>Envio de texto, media e botões funciona a partir do Inbox, flows e automações numa ligação UAZAPI.</li><li>Falhas de envio ficam registadas na mensagem com status failed e motivo.</li></ul>","1","5","leona-parity; whatsapp; uazapi; backend"
